x,y
-1373897.102506234,6792482.331549612
-1371129.2079539665,6795248.286898386
-1377217.3151846463,6805571.421784447
-1375577.7678097426,6810234.539769327
-1379186.596488539,6816077.5625283895
-1388921.4097324773,6820937.313171718
-1387451.4354700653,6826558.894881678
-1390800.7432199386,6828680.377673774
-1391499.32912299,6837734.7828048235
-1396803.0700466796,6845079.642370175
-1396674.5625985835,6851123.51375004
-1391216.5991820882,6862653.996545802
-1399289.8619597044,6864193.672534257
-1400572.6106186982,6871757.27151099
-1395751.045215551,6872964.192712025
-1389536.608267351,6882108.5233941
-1386512.4906542667,6889228.209604882
-1386780.7745123329,6902858.56147247
-1385128.2529791004,6907438.5053916145
-1381605.57858877,6908671.728869216
-1379718.2928669387,6918246.224870408
-1382115.984989891,6926023.956490339
-1378676.7164798598,6943915.517976687
-1379730.1316830304,6949582.435118296
-1377359.4659844441,6951565.140021038
-1380533.0677571245,6957042.594947783
-1386558.936607912,6979733.515845966
-1391771.7931523514,6982984.741669552
-1401042.877948609,6981208.266048453
-1404665.7336426012,6993077.361290117
-1401458.7393241103,6994378.966510445
-1401709.0409442734,7000025.162147815
-1403153.7253050327,7003477.932431185
-1406955.0346209458,7002959.511606465
-1407214.545905713,7007383.330934877
-1413114.2748599686,7013751.064228704
-1418831.5085030077,7022985.308417448
-1412138.6381079576,7026402.939776668
-1412908.6021487059,7034331.702169953
-1419871.868437921,7044451.704299669
-1419654.9041131434,7048782.2394617945
-1430498.719908637,7056003.872723475
-1433098.400293793,7060913.802437164
-1430939.451921972,7069345.265013924
-1432137.97492496,7073193.21822098
-1442796.9717075445,7085081.964376596
-1443065.0347020144,7093544.433659183
-1440334.8681605614,7101157.57304845
-1444213.7134375214,7105656.7834629975
-1443470.5130688788,7111951.572537605
-1446988.0590321713,7115714.014353324
-1446708.8462462805,7121068.302235289
-1451997.023205761,7128124.184269296
-1449997.2559466013,7134300.55836667
-1451004.7742311985,7144039.119362651
-1456525.6594835534,7146291.61661442
-1462811.0259748087,7142846.698773031
-1463924.4792200115,7139116.814166663
-1471008.5708763686,7140937.582140746
-1471297.963969327,7164326.3016539775
-1480901.7773837054,7183856.350469534
-1478838.8925049624,7199148.960979449
-1483288.2269336418,7195700.203796834
-1498665.592194092,7200429.454935804
-1501682.3767231093,7209246.653058021
-1506092.7581277443,7211448.473535389
-1507725.0296259623,7220511.497132165
-1498766.1097060053,7225541.539244371
-1497947.0846012617,7232214.555321892
-1506443.9619073248,7237915.523526909
-1510466.769598598,7246810.257463317
-1516322.6426094077,7239295.717227027
-1522741.5465180918,7241015.828322418
-1528908.150963508,7239445.811239885
-1528194.981853783,7248198.517068388
-1523454.7008374345,7250930.2266054265
-1526534.6833338346,7257635.272930334
-1524733.7672639256,7261359.067747638
-1526922.3002866877,7268412.729712048
-1521882.2548265336,7273146.285212472
-1521739.6203495406,7281166.375787381
-1525198.4768747508,7287535.762167703
-1522385.2767819627,7292368.373069501
-1524653.9832151278,7300472.375234401
-1533466.0770036376,7302290.773771763
-1533401.5136914554,7312445.641675721
-1530251.844298963,7318746.179872107
-1536240.214384443,7323609.729731156
-1532163.7559945027,7330132.169804409
-1541064.1621670115,7346904.949686158
-1543692.689284623,7346275.501338548
-1546947.0837607225,7338319.6370687075
-1549184.2467796756,7338388.262232434
-1560267.7080660104,7349769.207398346
-1562089.9309287607,7359795.720248293
-1560844.9430140972,7369509.815571145
-1573560.6308055108,7376602.553616345
-1580867.8101425166,7381597.268368169
-1581130.593043844,7387860.762048792
-1582061.2599091036,7396672.313803731
-1585592.2652157326,7398391.2864389345
-1582730.9568784805,7401953.410557741
-1583744.9307228795,7407939.427100493
-1574047.6489769395,7403483.37906694
-1570723.20898525,7405871.329219698
-1572210.0031588117,7415102.139357142
-1578427.5252132695,7418914.601124276
-1574922.565204656,7424611.94905159
-1579448.8959503816,7429974.92868862
-1571151.2563220083,7449986.973742431
-1320931.4040004574,8050925.602689298
-806220.2470095758,7884368.695958847
-823561.3952164717,7812113.78584354
-832208.4670826086,7776201.492305886
-898366.2395924557,7500926.3456892595
-900557.0222766558,7491732.7926959405
-938983.0519527673,7331882.888450751
-942663.5464471582,7316513.4849169785
-947137.3830909524,7297923.408213109
-958471.2007368797,7250705.181148173
-1087531.5803061388,6713920.08881428
-1140714.7603858158,6727032.627972773
-1178407.3085327432,6736729.370714453
-1242391.0067085084,6753962.892940589
-1373897.102506234,6792482.331549612
